source,state,generation,year,month
solar,Andaman and Nicobar Islands,1.17,2015-16,April
solar,Andaman and Nicobar Islands,0.83,2015-16,August
solar,Andaman and Nicobar Islands,0.84,2015-16,December
solar,Andaman and Nicobar Islands,1.37,2015-16,February
solar,Andaman and Nicobar Islands,1.35,2015-16,January
solar,Andaman and Nicobar Islands,0.98,2015-16,July
solar,Andaman and Nicobar Islands,1.01,2015-16,June
solar,Andaman and Nicobar Islands,1.43,2015-16,March
solar,Andaman and Nicobar Islands,1.16,2015-16,May
solar,Andaman and Nicobar Islands,0.84,2015-16,November
solar,Andaman and Nicobar Islands,0.88,2015-16,October
solar,Andaman and Nicobar Islands,0.71,2015-16,September
solar,Andaman and Nicobar Islands,1.38,2016-17,April
solar,Andaman and Nicobar Islands,1.1,2016-17,August
solar,Andaman and Nicobar Islands,1.06,2016-17,December
solar,Andaman and Nicobar Islands,0.94,2016-17,February
solar,Andaman and Nicobar Islands,0.96,2016-17,January
solar,Andaman and Nicobar Islands,0.96,2016-17,July
solar,Andaman and Nicobar Islands,1.05,2016-17,June
solar,Andaman and Nicobar Islands,1.13,2016-17,March
solar,Andaman and Nicobar Islands,1.22,2016-17,May
solar,Andaman and Nicobar Islands,1.13,2016-17,November
solar,Andaman and Nicobar Islands,1.04,2016-17,October
solar,Andaman and Nicobar Islands,0.83,2016-17,September
solar,Andaman and Nicobar Islands,1.21,2017-18,April
solar,Andaman and Nicobar Islands,0.91,2017-18,August
solar,Andaman and Nicobar Islands,1.19,2017-18,December
solar,Andaman and Nicobar Islands,1.22,2017-18,February
solar,Andaman and Nicobar Islands,1.3,2017-18,January
solar,Andaman and Nicobar Islands,0.88,2017-18,July
solar,Andaman and Nicobar Islands,0.99,2017-18,June
solar,Andaman and Nicobar Islands,1.44,2017-18,March
solar,Andaman and Nicobar Islands,1.12,2017-18,May
solar,Andaman and Nicobar Islands,1.15,2017-18,November
solar,Andaman and Nicobar Islands,1.09,2017-18,October
solar,Andaman and Nicobar Islands,1.03,2017-18,September
solar,Andaman and Nicobar Islands,1.3,2018-19,April
solar,Andaman and Nicobar Islands,0.89,2018-19,August
solar,Andaman and Nicobar Islands,1.16,2018-19,December
solar,Andaman and Nicobar Islands,1.74,2018-19,February
solar,Andaman and Nicobar Islands,1.4,2018-19,January
solar,Andaman and Nicobar Islands,0.81,2018-19,July
solar,Andaman and Nicobar Islands,0.8,2018-19,June
solar,Andaman and Nicobar Islands,2.01,2018-19,March
solar,Andaman and Nicobar Islands,1.16,2018-19,May
solar,Andaman and Nicobar Islands,1.16,2018-19,November
